Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross,Platform,CurrencyBudget,CurrencyGross,Language
The Mule,Movie,2018-12-14,6960.0,Crime,,58.0,7.0,142119,tt7959026,50000000.0,174804407.0,others,USD,USD,English
If Beale Street Could Talk,Movie,2018-12-25,7140.0,Drama,2.0,87.0,7.1,50467,tt7125860,12000000.0,20596567.0,others,USD,USD,English
Mary Poppins Returns,Movie,2018-12-19,7800.0,Adventure,4.0,66.0,6.7,90794,tt5028340,130000000.0,349546142.0,others,USD,USD,English
Aquaman,Movie,2018-12-21,8580.0,Action,,55.0,6.8,487401,tt1477834,160000000.0,1148528393.0,others,USD,USD,English
Bumblebee,Movie,2018-12-21,6840.0,Action,,66.0,6.7,171961,tt4701182,135000000.0,467989645.0,others,USD,USD,English
Welcome to Marwen,Movie,2018-12-21,6960.0,Biography,,40.0,6.2,24816,tt3289724,39000000.0,13061491.0,others,USD,USD,English
Second Act,Movie,2018-12-21,6180.0,Comedy,,46.0,5.8,28739,tt2126357,16000000.0,72294066.0,others,USD,USD,English
Vice,Movie,2018-12-25,7920.0,Biography,7.0,61.0,7.2,152709,tt6266538,60000000.0,76073488.0,others,USD,USD,English
On the Basis of Sex,Movie,2019-01-11,7200.0,Biography,,59.0,7.1,35918,tt4669788,20000000.0,38755900.0,others,USD,USD,English
Destroyer,Movie,2018-12-27,7260.0,Action,,62.0,6.2,30563,tt7137380,9000000.0,5580940.0,others,USD,USD,English
Black Mirror: Bandersnatch,Movie,2018-12-28,5400.0,Drama,0.0,,7.1,129602,tt9495224,,,others,,,English
Escape Room,Movie,2019-01-04,5940.0,Action,,48.0,6.4,128578,tt5886046,9000000.0,155712077.0,others,USD,USD,English
Rust Creek,Movie,2019-01-04,6480.0,Crime,,59.0,5.9,12327,tt6610158,,,others,,,English
American Hangman,Movie,2019-01-04,5940.0,Crime,,38.0,5.9,3652,tt8975028,,,others,,,English
A Dog's Way Home,Movie,2019-01-11,5760.0,Adventure,,50.0,6.7,18919,tt7616798,18000000.0,80708134.0,others,USD,USD,English
The Upside,Movie,2019-01-11,7560.0,Comedy,,46.0,7.0,58560,tt1987680,37500000.0,125856180.0,others,USD,USD,English
Replicas,Movie,2019-01-11,6420.0,Drama,,19.0,5.4,39978,tt4154916,30000000.0,9330075.0,others,USD,USD,English
After Darkness,Movie,2019-01-15,5880.0,Drama,,,3.7,1174,tt2728784,,,others,,,English
Glass,Movie,2019-01-18,7740.0,Drama,,43.0,6.6,251594,tt6823368,20000000.0,246999039.0,others,USD,USD,English
Close,Movie,2019-01-18,5640.0,Action,,51.0,5.7,25777,tt5316540,,60040.0,others,,USD,Arabic
The Final Wish,Movie,2019-01-24,5700.0,Horror,,,4.3,6926,tt9109306,,95215.0,others,,USD,English
The Kid Who Would Be King,Movie,2019-01-25,7200.0,Action,,66.0,6.1,17664,tt6811018,59000000.0,32140970.0,others,USD,USD,English
I Am Mother,Movie,2019-06-07,6780.0,Drama,,64.0,6.7,94081,tt6292852,,643593.0,others,,USD,English
The Vast of Night,Movie,2020-05-29,5460.0,Drama,,84.0,6.7,41380,tt6803046,,,amazon,,,English
Miss Bala,Movie,2019-02-01,6240.0,Action,,41.0,5.8,11937,tt5941692,15000000.0,15383580.0,others,USD,USD,English
Velvet Buzzsaw,Movie,2019-02-01,6780.0,Horror,,61.0,5.7,63293,tt7043012,,,netflix,,,English
The Lego Movie 2: The Second Part,Movie,2019-02-08,6420.0,Animation,,65.0,6.6,70130,tt3513498,99000000.0,199603202.0,others,USD,USD,English
What Men Want,Movie,2019-02-08,7020.0,Comedy,,49.0,5.3,28767,tt7634968,20000000.0,72216294.0,others,USD,USD,English
Cold Pursuit,Movie,2019-02-08,7140.0,Action,,57.0,6.2,72016,tt5719748,60000000.0,76419755.0,others,USD,USD,English
High Flying Bird,Movie,2019-02-08,5400.0,Drama,,78.0,6.2,8958,tt8128188,2000000.0,,netflix,USD,,English
The Prodigy,Movie,2019-02-08,5520.0,Fantasy,,45.0,5.9,27328,tt4504044,6000000.0,21127789.0,others,USD,USD,English
Happy Death Day 2U,Movie,2019-02-13,6000.0,Comedy,,57.0,6.2,78667,tt8155288,9000000.0,64600152.0,others,USD,USD,English
Alita: Battle Angel,Movie,2019-02-14,7320.0,Action,,53.0,7.3,276776,tt0437086,170000000.0,404980543.0,others,USD,USD,English
How to Train Your Dragon: The Hidden World,Movie,2019-02-22,6240.0,Animation,1.0,71.0,7.4,136250,tt2386490,129000000.0,524580592.0,others,USD,USD,English
Fighting with My Family,Movie,2019-02-22,6480.0,Biography,,68.0,7.1,83767,tt6513120,11000000.0,41503392.0,others,USD,USD,English
Greta,Movie,2019-03-01,5880.0,Drama,,54.0,6.0,35463,tt2639336,,18653107.0,others,,USD,English
Triple Frontier,Movie,2019-03-13,7500.0,Action,,61.0,6.4,134669,tt1488606,115000000.0,,netflix,USD,,English
Captain Marvel,Movie,2019-03-08,7380.0,Action,,64.0,6.8,574706,tt4154664,160000000.0,1131416446.0,others,USD,USD,English
Captive State,Movie,2019-03-15,6540.0,Action,,54.0,6.0,55569,tt5968394,25000000.0,8808611.0,others,USD,USD,English
The Aftermath,Movie,2019-03-15,6480.0,Drama,,43.0,6.3,22252,tt5977276,,9215591.0,others,,USD,English
Five Feet Apart,Movie,2019-03-15,6960.0,Drama,,53.0,7.2,72535,tt6472976,7000000.0,92559910.0,others,USD,USD,English
The Highwaymen,Movie,2019-03-29,7920.0,Biography,,58.0,6.9,95263,tt1860242,49000000.0,,netflix,USD,,English
Never Grow Old,Movie,2019-12-27,6000.0,Drama,,65.0,6.0,4362,tt1158939,,106796.0,others,,USD,English
Triple Threat,Movie,2019-03-22,5760.0,Action,,60.0,5.6,11870,tt6643972,10000000.0,345900.0,others,USD,USD,English
Us,Movie,2019-03-22,6960.0,Horror,,81.0,6.8,311963,tt6857112,20000000.0,256067149.0,others,USD,USD,English
Hotel Mumbai,Movie,2019-03-29,7380.0,Action,,62.0,7.6,66509,tt5461944,,21315827.0,others,,USD,Hindi
The Dirt,Movie,2019-03-22,6420.0,Biography,,39.0,7.0,51983,tt0800325,,,netflix,,,English
Dragged Across Concrete,Movie,2019-03-22,9540.0,Action,,60.0,6.9,50420,tt6491178,15000000.0,660132.0,others,USD,USD,English
The Beach Bum,Movie,2019-03-29,5700.0,Comedy,,55.0,5.5,23506,tt6511932,5000000.0,4554416.0,others,USD,USD,English
Unplanned,Movie,2019-03-29,6540.0,Biography,,10.0,5.5,14259,tt9024106,6000000.0,21515607.0,others,USD,USD,English
Shazam!,Movie,2019-04-05,7920.0,Action,,71.0,7.0,358232,tt0448115,100000000.0,367799011.0,others,USD,USD,English
The Best of Enemies,Movie,2019-04-05,7980.0,Biography,,49.0,7.3,17899,tt4807408,10000000.0,10209813.0,others,USD,USD,English
High Life,Movie,2019-04-12,6780.0,Adventure,,78.0,5.8,37722,tt4827558,8000000.0,2133033.0,others,EUR,USD,English
Unicorn Store,Movie,2019-04-05,5520.0,Comedy,,44.0,5.6,20019,tt2338454,,,netflix,,,English
The Haunting of Sharon Tate,Movie,2019-04-05,5640.0,Drama,,8.0,2.9,4236,tt7976208,,19717.0,others,,USD,English
The Silence,Movie,2019-04-10,5400.0,Drama,,25.0,5.3,47505,tt7315484,,2325977.0,others,,USD,English
Missing Link,Movie,2019-04-12,5580.0,Animation,1.0,68.0,6.7,27379,tt6348138,100000000.0,26565710.0,others,USD,USD,English
After,Movie,2019-04-12,6300.0,Drama,,30.0,5.3,58684,tt4126476,14000000.0,69497587.0,others,USD,USD,English
Her Smell,Movie,2019-05-10,8160.0,Drama,,70.0,6.0,7678,tt7942742,,260481.0,others,,USD,English
Breakthrough,Movie,2019-04-17,6960.0,Biography,1.0,46.0,6.2,10382,tt7083526,14000000.0,50444358.0,others,USD,USD,English
The Curse of La Llorona,Movie,2019-04-19,5580.0,Horror,,41.0,5.2,52698,tt4913966,9000000.0,123133739.0,others,USD,USD,English
Under the Silver Lake,Movie,2019-04-19,8340.0,Crime,,60.0,6.5,45678,tt5691670,8500000.0,2053469.0,others,USD,USD,English
Fast Color,Movie,2019-04-19,6000.0,Drama,,64.0,6.1,6666,tt6418778,,76916.0,others,,USD,English
Someone Great,Movie,2019-04-19,5520.0,Comedy,,63.0,6.1,23719,tt8075260,5000000.0,,netflix,USD,,English
I Spit on Your Grave: Deja Vu,Movie,2019-04-23,8880.0,Horror,,,2.4,3096,tt4058836,,,others,,,English
Avengers: Endgame,Movie,2019-04-26,10860.0,Action,1.0,78.0,8.4,1167119,tt4154796,356000000.0,2799439100.0,others,USD,USD,English
Buffaloed,Movie,2020-06-01,5700.0,Comedy,,61.0,6.2,6652,tt8647310,,29118.0,others,,USD,English
Long Shot,Movie,2019-05-03,7500.0,Comedy,,67.0,6.8,114560,tt2139881,40000000.0,53873809.0,others,USD,USD,English
The Intruder,Movie,2019-05-03,6120.0,Horror,,39.0,5.6,18733,tt6722030,8000000.0,36599361.0,others,USD,USD,English
"Extremely Wicked, Shockingly Evil and Vile",Movie,2019-05-03,6600.0,Biography,,52.0,6.7,97345,tt2481498,,9816572.0,others,,USD,English
The Last Summer,Movie,2019-05-03,6540.0,Comedy,,,5.5,13679,tt7957694,,,netflix,,,English
Pokémon: Detective Pikachu,Movie,2019-05-10,6240.0,Action,,53.0,6.5,169307,tt5884052,150000000.0,449762638.0,others,USD,USD,English
The Hustle,Movie,2019-05-10,5580.0,Comedy,,35.0,5.4,62268,tt1298644,21000000.0,97409779.0,others,USD,USD,English
Tolkien,Movie,2019-05-10,6720.0,Biography,,48.0,6.8,43041,tt3361792,20000000.0,9090040.0,others,USD,USD,English
Poms,Movie,2019-05-10,5400.0,Comedy,,36.0,6.1,6695,tt5125894,10000000.0,16418218.0,others,USD,USD,English
The Professor and the Madman,Movie,2019-05-10,7440.0,Biography,,27.0,7.2,47891,tt5932728,25000000.0,5098627.0,others,USD,USD,English
John Wick: Chapter 3 - Parabellum,Movie,2019-05-17,7800.0,Action,,73.0,7.4,378567,tt6146586,75000000.0,328349387.0,others,USD,USD,English
A Dog's Journey,Movie,2019-05-17,6540.0,Adventure,,43.0,7.4,26253,tt8385474,16000000.0,78871079.0,others,USD,USD,English
The Sun Is Also a Star,Movie,2019-05-17,6000.0,Drama,,52.0,5.9,7704,tt6423362,9000000.0,6750029.0,others,USD,USD,English
The Professor,Movie,2019-05-17,5400.0,Comedy,,37.0,6.7,34286,tt6865690,,3645308.0,others,,USD,English
The Souvenir,Movie,2019-06-07,7200.0,Drama,,92.0,6.4,13558,tt6920356,,1777486.0,others,,USD,English
The Tomorrow Man,Movie,2019-08-02,5640.0,Drama,,49.0,5.8,2070,tt8769848,,354103.0,others,,USD,English
Brightburn,Movie,2019-05-24,5400.0,Drama,,44.0,6.1,101636,tt7752126,6000000.0,33224654.0,others,USD,USD,English
Booksmart,Movie,2019-05-24,6120.0,Comedy,1.0,84.0,7.1,123433,tt1489887,6000000.0,24959607.0,others,USD,USD,English
The Perfection,Movie,2019-05-24,5400.0,Drama,,60.0,6.2,46105,tt7772580,,,netflix,,,English
Always Be My Maybe,Movie,2019-05-31,6060.0,Comedy,,64.0,6.8,58669,tt7374948,,,netflix,,,English
Godzilla: King of the Monsters,Movie,2019-05-31,7920.0,Action,,48.0,6.0,188855,tt3741700,170000000.0,386600138.0,others,USD,USD,English
Rocketman,Movie,2019-05-31,7260.0,Biography,0.0,69.0,7.3,180899,tt2066051,40000000.0,195320400.0,others,USD,USD,English
Ma,Movie,2019-05-31,5940.0,Horror,,53.0,5.6,55358,tt7958736,5000000.0,61220856.0,others,USD,USD,English
X-Men: Dark Phoenix,Movie,2019-06-07,6780.0,Action,,43.0,5.7,193034,tt6565702,200000000.0,252442974.0,others,USD,USD,English
Late Night,Movie,2019-06-14,6120.0,Comedy,,70.0,6.5,39139,tt6107548,4000000.0,22386555.0,others,USD,USD,English
The Last Black Man in San Francisco,Movie,2019-06-07,7260.0,Drama,,83.0,7.3,20546,tt4353250,,4637830.0,others,,USD,English
Men in Black: International,Movie,2019-06-14,6840.0,Action,,38.0,5.6,138572,tt2283336,110000000.0,253890701.0,others,USD,USD,English
The Dead Don't Die,Movie,2019-06-14,6240.0,Comedy,,53.0,5.4,81508,tt8695030,,15325468.0,others,,USD,English
Murder Mystery,Movie,2019-06-14,5820.0,Action,,38.0,6.0,148914,tt1618434,,,netflix,,,English
Plus One,Movie,2019-06-14,5880.0,Comedy,,65.0,6.6,12559,tt7645122,,44112.0,others,,USD,English
Being Frank,Movie,2019-06-21,6540.0,Comedy,,41.0,6.1,1628,tt6547044,,67343.0,others,,USD,English
Toy Story 4,Movie,2019-06-21,6000.0,Animation,1.0,84.0,7.7,259548,tt1979376,200000000.0,1073841394.0,others,USD,USD,English
Anna,Movie,2019-06-21,7080.0,Action,,40.0,6.6,86395,tt7456310,30690000.0,31626978.0,others,EUR,USD,English
Annabelle Comes Home,Movie,2019-06-26,6360.0,Horror,,53.0,5.9,79233,tt8350360,30000000.0,231252591.0,others,USD,USD,English
Yesterday,Movie,2019-06-28,6960.0,Comedy,,55.0,6.8,158153,tt8079248,26000000.0,154608856.0,others,USD,USD,English
Ophelia,Movie,2019-06-28,6360.0,Drama,,60.0,6.5,12114,tt5690810,12000000.0,338940.0,others,USD,USD,English
Killers Anonymous,Movie,2019-09-28,5700.0,Action,,22.0,4.1,10110,tt8400758,26000000.0,100581.0,others,USD,USD,English
Spider-Man: Far from Home,Movie,2019-07-02,7740.0,Action,,69.0,7.4,510184,tt6320628,160000000.0,1131927996.0,others,USD,USD,English
Escape Plan: The Extractors,Movie,2019-07-02,5820.0,Action,,,4.4,15405,tt6772804,,1766092.0,others,,USD,English
Midsommar,Movie,2019-07-03,8880.0,Drama,,72.0,7.1,344312,tt8772262,9000000.0,48001776.0,others,USD,USD,English
Stuber,Movie,2019-07-12,5580.0,Action,,42.0,6.2,49097,tt7734218,16000000.0,32390945.0,others,USD,USD,English
The Farewell,Movie,2019-08-09,6000.0,Comedy,1.0,89.0,7.5,66880,tt8637428,,23076657.0,others,,USD,Mandarin
Darlin',Movie,2019-07-12,6000.0,Horror,,49.0,4.9,2103,tt8396294,,,others,,,English
Once Upon a Time in Hollywood,Movie,2019-07-26,9660.0,Comedy,8.0,83.0,7.6,770263,tt7131622,90000000.0,377617598.0,others,USD,USD,English
Skin,Movie,2019-07-23,7080.0,Biography,,58.0,6.8,17317,tt6043142,,135562.0,others,,USD,English
The Red Sea Diving Resort,Movie,2019-07-31,7740.0,Drama,,,6.6,30623,tt4995776,,,netflix,,,English
A Score to Settle,Movie,2019-08-02,6180.0,Action,,37.0,4.7,6544,tt3758162,,171216.0,others,,USD,English
The Operative,Movie,2019-07-24,6960.0,Action,,47.0,5.8,6899,tt8000718,,1431904.0,others,,USD,English
Dora and the Lost City of Gold,Movie,2019-08-09,6120.0,Action,,63.0,6.1,32096,tt7547410,49000000.0,120597108.0,others,USD,USD,English
The Kitchen,Movie,2019-08-09,6120.0,Action,,35.0,5.6,21961,tt5822564,38000000.0,15980032.0,others,USD,USD,English
The Art of Racing in the Rain,Movie,2019-08-09,6540.0,Comedy,,43.0,7.5,33767,tt1478839,18000000.0,33766787.0,others,USD,USD,English
Scary Stories to Tell in the Dark,Movie,2019-08-09,6480.0,Adventure,,61.0,6.2,79525,tt3387520,25000000.0,104545505.0,others,USD,USD,English
The Peanut Butter Falcon,Movie,2019-08-23,5820.0,Adventure,,70.0,7.6,93706,tt4364194,6200000.0,133031473.0,others,USD,USD,English
Light of My Life,Movie,2019-08-09,7140.0,Drama,,67.0,6.6,14307,tt6063090,,1392898.0,others,,USD,English
The Angry Birds Movie 2,Movie,2019-08-14,5820.0,Animation,,60.0,6.4,31622,tt6095472,65000000.0,147792047.0,others,USD,USD,English
Good Boys,Movie,2019-08-16,5400.0,Adventure,,,6.7,76510,tt6977338,20000000.0,111173598.0,others,USD,USD,English
Blinded by the Light,Movie,2019-08-16,7080.0,Comedy,,71.0,6.9,25853,tt8266310,15000000.0,18096691.0,others,USD,USD,English
"Where'd You Go, Bernadette",Movie,2019-08-16,6540.0,Comedy,,51.0,6.5,23197,tt2365580,20000000.0,11025353.0,others,USD,USD,English
47 Meters Down: Uncaged,Movie,2019-08-16,5400.0,Adventure,,43.0,5.0,28343,tt7329656,12000000.0,47582563.0,others,USD,USD,English
Ready or Not,Movie,2019-08-21,5700.0,Action,,64.0,6.8,161358,tt7798634,6000000.0,57615777.0,others,USD,USD,English
Angel Has Fallen,Movie,2019-08-23,7260.0,Action,,45.0,6.4,102113,tt6189022,40000000.0,146661977.0,others,USD,USD,English
Brittany Runs a Marathon,Movie,2019-10-24,6240.0,Comedy,,72.0,6.8,21007,tt7671064,,7442106.0,others,,USD,English
Overcomer,Movie,2019-08-23,7140.0,Drama,,17.0,6.6,5213,tt8186318,5000000.0,38026103.0,others,USD,USD,English
Official Secrets,Movie,2019-08-30,6720.0,Biography,,63.0,7.3,50100,tt5431890,,10088753.0,others,,USD,English
Don't Let Go,Movie,2019-08-30,6180.0,Drama,,49.0,6.3,11831,tt6803212,5000000.0,5288011.0,others,USD,USD,English
Itsy Bitsy,Movie,2019-12-30,5640.0,Fantasy,,,4.6,5223,tt6895284,,,others,,,English
It Chapter Two,Movie,2019-09-06,10140.0,Drama,,58.0,6.5,276789,tt7349950,79000000.0,473122525.0,others,USD,USD,English
Strange But True,Movie,2019-09-06,5760.0,Thriller,,55.0,5.9,5087,tt2866708,,343038.0,others,,USD,English
The Obituary of Tunde Johnson,Movie,2021-02-26,6240.0,Drama,,58.0,5.6,673,tt8815382,,,others,,,English
The Goldfinch,Movie,2019-09-13,8940.0,Drama,,40.0,6.4,24805,tt3864056,45000000.0,9932621.0,others,USD,USD,English
Hustlers,Movie,2019-09-13,6600.0,Comedy,,79.0,6.3,103237,tt5503686,20000000.0,157563598.0,others,USD,USD,English
Monos,Movie,2019-08-15,6120.0,Adventure,,78.0,6.9,17939,tt6062774,,1929915.0,others,,USD,Spanish
Tall Girl,Movie,2019-09-13,6060.0,Comedy,,,5.2,25084,tt9252508,13600000.0,,netflix,USD,,English
Ad Astra,Movie,2019-09-20,7380.0,Adventure,1.0,80.0,6.5,244364,tt2935510,90000000.0,127461872.0,others,USD,USD,English
Running with the Devil,Movie,2019-09-20,6000.0,Crime,,42.0,5.4,8985,tt5792656,,111218.0,others,,USD,English
Fractured,Movie,2019-10-11,5940.0,Thriller,,36.0,6.4,81469,tt4332232,,,netflix,,,English
Abominable,Movie,2019-09-27,5820.0,Animation,,61.0,7.0,40234,tt6324278,75000000.0,190304772.0,others,USD,USD,English
The Laundromat,Movie,2019-09-27,5760.0,Comedy,,57.0,6.3,52659,tt5865326,,,netflix,,,English
Judy,Movie,2019-10-04,7080.0,Biography,1.0,66.0,6.8,52428,tt7549996,,45987812.0,others,,USD,English
Joker,Movie,2019-10-04,7320.0,Crime,9.0,59.0,8.4,1338116,tt7286456,55000000.0,1074458282.0,others,USD,USD,English
Lucy in the Sky,Movie,2019-10-04,7440.0,Drama,,36.0,4.9,8230,tt4682804,,481707.0,others,,USD,English
Dolemite Is My Name,Movie,2019-10-25,7080.0,Biography,,76.0,7.2,62565,tt8526872,,,netflix,,,English
In the Tall Grass,Movie,2019-10-04,6060.0,Horror,,46.0,5.4,59253,tt4687108,,,netflix,,,English
Little Monsters,Movie,2019-10-11,5580.0,Comedy,,59.0,6.3,18183,tt7390588,,425155.0,hulu,,USD,English
Gemini Man,Movie,2019-10-11,7020.0,Action,,38.0,5.7,116218,tt1025100,138000000.0,173469516.0,others,USD,USD,English
The King,Movie,2019-11-01,8400.0,Biography,,62.0,7.3,136929,tt7984766,,126931.0,netflix,,USD,English
El Camino: A Breaking Bad Movie,Movie,2019-10-11,7320.0,Action,4.0,72.0,7.3,263522,tt9243946,6000000.0,,netflix,USD,,English
Maleficent: Mistress of Evil,Movie,2019-10-18,7140.0,Adventure,1.0,43.0,6.6,109750,tt4777008,185000000.0,491730089.0,others,USD,USD,English
Zombieland: Double Tap,Movie,2019-10-18,5940.0,Action,,55.0,6.7,187082,tt1560220,42000000.0,122810399.0,others,USD,USD,English
Jojo Rabbit,Movie,2019-11-08,6480.0,Comedy,5.0,58.0,7.9,406040,tt2584384,14000000.0,93757609.0,others,USD,USD,English
The Lighthouse,Movie,2019-11-01,6540.0,Drama,1.0,83.0,7.4,228125,tt7984734,11000000.0,18129854.0,others,USD,USD,English
Wounds,Movie,2019-10-18,5700.0,Drama,,51.0,4.1,20246,tt5913798,,,hulu,,,English
Black and Blue,Movie,2019-10-25,6480.0,Action,,54.0,6.4,25005,tt7390646,12000000.0,22741061.0,others,USD,USD,English
The Current War: Director's Cut,Movie,2019-10-25,6120.0,Biography,,55.0,6.5,28818,tt2140507,30000000.0,12217160.0,others,USD,USD,English
Countdown,Movie,2019-10-25,5400.0,Horror,,31.0,5.4,40985,tt10039344,6500000.0,48021766.0,others,USD,USD,English
The Gallows Act II,Movie,2019-10-25,5940.0,Horror,,,4.2,2189,tt7473716,,,others,,,English
Terminator: Dark Fate,Movie,2019-11-01,7680.0,Action,,54.0,6.2,183214,tt6450804,185000000.0,261119292.0,others,USD,USD,English
Motherless Brooklyn,Movie,2019-11-01,8640.0,Crime,,60.0,6.8,59810,tt0385887,26000000.0,18477736.0,others,USD,USD,English
The Irishman,Movie,2019-11-27,12540.0,Biography,10.0,94.0,7.8,400341,tt1302006,159000000.0,968853.0,netflix,USD,USD,English
Harriet,Movie,2019-11-01,7500.0,Action,2.0,66.0,6.7,28611,tt4648786,17000000.0,43347017.0,others,USD,USD,English
Arctic Dogs,Movie,2019-11-01,5520.0,Animation,,28.0,4.8,2095,tt4426464,61000000.0,9872644.0,others,CAD,USD,English
Marriage Story,Movie,2019-12-06,8220.0,Drama,5.0,94.0,7.9,321944,tt7653254,18600000.0,333686.0,netflix,USD,USD,English
Doctor Sleep,Movie,2019-11-08,9120.0,Drama,,59.0,7.3,200080,tt5606664,45000000.0,72381712.0,others,USD,USD,English
Last Christmas,Movie,2019-11-08,6180.0,Comedy,,50.0,6.5,83518,tt8623904,25000000.0,123446172.0,others,USD,USD,English
Playing with Fire,Movie,2019-11-08,5760.0,Comedy,,24.0,5.1,15273,tt9134216,29900000.0,69412425.0,others,USD,USD,English
Let It Snow,Movie,2019-11-08,5520.0,Comedy,,51.0,5.8,23463,tt1950235,,,netflix,,,English
Midway,Movie,2019-11-08,8280.0,Action,,47.0,6.7,88881,tt6924650,100000000.0,127420861.0,others,USD,USD,English
Klaus,Movie,2019-11-15,5760.0,Animation,1.0,65.0,8.2,164553,tt4729430,40000000.0,,netflix,USD,,English
Honey Boy,Movie,2019-11-27,5640.0,Drama,,73.0,7.2,38978,tt8151874,,3400977.0,others,,USD,English
Noelle,Movie,2019-11-12,6000.0,Adventure,,48.0,6.3,24077,tt5097410,,,disney,,,English
Ford v Ferrari,Movie,2019-11-15,9120.0,Action,2.0,81.0,8.1,412167,tt1950186,97600000.0,225508210.0,others,USD,USD,English
The Good Liar,Movie,2019-11-15,6540.0,Crime,,55.0,6.7,44149,tt5563334,10000000.0,33856058.0,others,USD,USD,English
The Report,Movie,2019-11-15,7140.0,Biography,,66.0,7.2,45956,tt8236336,,232305.0,others,,USD,English
Waves,Movie,2019-12-06,8100.0,Drama,,80.0,7.5,27636,tt8652728,6000000.0,2576990.0,others,USD,USD,English
Frozen II,Movie,2019-11-22,6180.0,Animation,1.0,64.0,6.8,179690,tt4520988,150000000.0,1453683476.0,others,USD,USD,English
A Beautiful Day in the Neighborhood,Movie,2019-11-22,6540.0,Biography,1.0,80.0,7.2,83545,tt3224458,25000000.0,67925733.0,others,USD,USD,English
21 Bridges,Movie,2019-11-22,5940.0,Action,,51.0,6.6,70003,tt8688634,33000000.0,49939757.0,others,USD,USD,English
Dark Waters,Movie,2019-12-06,7560.0,Biography,,73.0,7.6,92839,tt9071322,,23108017.0,others,,USD,English
Knives Out,Movie,2019-11-27,7800.0,Comedy,1.0,82.0,7.9,720844,tt8946378,40000000.0,312897920.0,others,USD,USD,English
The Two Popes,Movie,2019-12-20,7500.0,Biography,3.0,75.0,7.6,127436,tt8404614,,243711.0,netflix,,USD,English
Playmobil: The Movie,Movie,2019-12-06,5940.0,Animation,,25.0,4.9,4341,tt4199898,63000000.0,16383278.0,others,EUR,USD,English
The Aeronauts,Movie,2019-12-20,6000.0,Action,,60.0,6.6,35063,tt6141246,,3485251.0,amazon,,USD,English
A Million Little Pieces,Movie,2019-12-06,6780.0,Drama,,45.0,6.2,3686,tt0427543,,89825.0,others,,USD,English
Daniel Isn't Real,Movie,2019-12-06,6000.0,Drama,,61.0,6.1,9272,tt8745960,,75407.0,others,,USD,English
Jumanji: The Next Level,Movie,2019-12-13,7380.0,Action,,58.0,6.7,260617,tt7975244,125000000.0,801693929.0,others,USD,USD,English
Richard Jewell,Movie,2019-12-13,7860.0,Biography,1.0,68.0,7.5,91400,tt3513548,45000000.0,44655962.0,others,USD,USD,English
6 Underground,Movie,2019-12-13,7680.0,Action,,41.0,6.1,183660,tt8106534,150000000.0,,netflix,USD,,English
Bombshell,Movie,2019-12-20,6540.0,Biography,2.0,64.0,6.8,119483,tt6394270,32000000.0,61404394.0,others,USD,USD,English
Uncut Gems,Movie,2019-12-25,8100.0,Crime,,91.0,7.4,293738,tt5727208,19000000.0,50023780.0,others,USD,USD,English
Seberg,Movie,2020-05-15,6120.0,Biography,,54.0,5.9,9525,tt1780967,,655178.0,others,,USD,English
A Hidden Life,Movie,2020-01-17,10440.0,Biography,,78.0,7.4,25688,tt5827916,,4622354.0,others,,USD,English
Cats,Movie,2019-12-20,6600.0,Comedy,,32.0,2.8,53048,tt5697572,95000000.0,75558925.0,others,USD,USD,English
Spies in Disguise,Movie,2019-12-25,6120.0,Animation,,54.0,6.8,52021,tt5814534,100000000.0,171616764.0,others,USD,USD,English
Little Women,Movie,2019-12-25,8100.0,Drama,5.0,91.0,7.8,216502,tt3281548,40000000.0,218843645.0,others,USD,USD,English
1917,Movie,2020-01-10,7140.0,Action,7.0,78.0,8.2,613994,tt8579674,95000000.0,384577421.0,others,USD,USD,English
Just Mercy,Movie,2020-01-10,8220.0,Biography,,68.0,7.6,70926,tt4916630,25000000.0,50901502.0,others,USD,USD,English
Clemency,Movie,2020-01-24,6720.0,Drama,1.0,77.0,6.5,4924,tt5577494,,364952.0,others,,USD,English
Underwater,Movie,2020-01-10,5700.0,Action,,48.0,5.8,87056,tt5774060,80000000.0,40882928.0,others,USD,USD,English
Three Christs,Movie,2020-01-03,6540.0,Drama,,39.0,6.2,3422,tt5706370,,36723.0,others,,USD,English
Inherit the Viper,Movie,2020-01-10,5400.0,Thriller,,39.0,5.2,1688,tt7349896,,,others,,,English
The Sonata,Movie,2020-01-10,5400.0,Music,,41.0,5.2,1469,tt7149066,,180849.0,others,,USD,English
Bad Boys for Life,Movie,2020-01-17,7440.0,Action,,59.0,6.5,165725,tt1502397,90000000.0,426505244.0,others,USD,USD,English
Dolittle,Movie,2020-01-17,6060.0,Adventure,,26.0,5.6,66861,tt6673612,175000000.0,251410631.0,others,USD,USD,English
A Fall from Grace,Movie,2020-01-17,7200.0,Thriller,,34.0,5.9,16210,tt11390036,,,netflix,,,English
The Gentlemen,Movie,2020-01-24,6780.0,Action,,51.0,7.8,356470,tt8367814,22000000.0,115171795.0,others,USD,USD,English
The Turning,Movie,2020-01-24,5640.0,Drama,,35.0,3.9,15160,tt7510346,14000000.0,19428166.0,others,USD,USD,English
The Last Full Measure,Movie,2020-01-24,6960.0,Drama,,51.0,6.8,12762,tt0783640,20000000.0,3364426.0,others,USD,USD,English
